CMD:
/home/jinsk/miniconda3/bin/python /home/jinsk/CodeFiles/ICCCCCCCCCCCCCCML/ANE_exp/v6/experiment_v6.py --data_path /home/jinsk/CodeFiles/ICCCCCCCCCCCCCCML/ANE_exp/data/gsm8k/gsm8k_test_500.json --num_samples 500 --model /home/jinsk/Models/Llama-3.2-3B-Instruct --steps 10 --lr 0.0001 --optimizer sgd --momentum 0.0 --update_target mlp --num_layers all --eval_mode ar --tta_reset sample --topk_list 5 --dtype bf16 --device_map auto --output_dir /home/jinsk/CodeFiles/ICCCCCCCCCCCCCCML/ANE_exp/v6/results/gsm8k500/lr_search/llama3.2-3b/lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04 --config_name lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04 --backup_on_cpu --no_viz

2026-01-16 03:10:27.976496: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-01-16 03:10:28.047750: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.

Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
Loading checkpoint shards:  50%|█████     | 1/2 [00:32<00:32, 32.25s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:49<00:00, 23.27s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:49<00:00, 24.62s/it]

gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   0%|          | 0/500 [00:00<?, ?it/s]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   0%|          | 1/500 [00:04<38:34,  4.64s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   0%|          | 2/500 [00:08<33:31,  4.04s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  17%|█▋        | 85/500 [05:27<31:45,  4.59s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  17%|█▋        | 86/500 [05:30<29:43,  4.31s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  17%|█▋        | 87/500 [05:34<28:16,  4.11s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  18%|█▊        | 88/500 [05:38<27:16,  3.97s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  18%|█▊        | 89/500 [05:43<30:31,  4.46s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  18%|█▊        | 90/500 [05:47<28:55,  4.23s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  18%|█▊        | 91/500 [05:51<27:47,  4.08s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  18%|█▊        | 92/500 [05:54<27:01,  3.97s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  19%|█▊        | 93/500 [05:58<26:16,  3.87s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  19%|█▉        | 94/500 [06:02<25:39,  3.79s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  19%|█▉        | 95/500 [06:05<25:14,  3.74s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  19%|█▉        | 96/500 [06:09<24:54,  3.70s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  19%|█▉        | 97/500 [06:14<28:18,  4.22s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  20%|█▉        | 98/500 [06:18<27:01,  4.03s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  20%|█▉        | 99/500 [06:21<26:07,  3.91s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  20%|██        | 100/500 [06:25<25:27,  3.82s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  20%|██        | 101/500 [06:29<25:05,  3.77s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  20%|██        | 102/500 [06:32<24:35,  3.71s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  21%|██        | 103/500 [06:36<24:12,  3.66s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  21%|██        | 104/500 [06:39<23:55,  3.63s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  21%|██        | 105/500 [06:43<23:43,  3.60s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  21%|██        | 106/500 [06:47<23:32,  3.59s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  21%|██▏       | 107/500 [06:50<23:23,  3.57s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  22%|██▏       | 108/500 [06:54<23:16,  3.56s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  22%|██▏       | 109/500 [06:57<23:09,  3.55s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  22%|██▏       | 110/500 [07:01<23:05,  3.55s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  22%|██▏       | 111/500 [07:04<23:06,  3.57s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  22%|██▏       | 112/500 [07:10<26:38,  4.12s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  23%|██▎       | 113/500 [07:13<25:33,  3.96s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  23%|██▎       | 114/500 [07:17<24:49,  3.86s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  23%|██▎       | 115/500 [07:21<24:15,  3.78s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  23%|██▎       | 116/500 [07:24<23:50,  3.73s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  23%|██▎       | 117/500 [07:28<23:32,  3.69s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  24%|██▎       | 118/500 [07:31<23:21,  3.67s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  24%|██▍       | 119/500 [07:35<23:27,  3.69s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  24%|██▍       | 120/500 [07:41<26:49,  4.24s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  24%|██▍       | 121/500 [07:44<25:40,  4.07s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  24%|██▍       | 122/500 [07:48<25:00,  3.97s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  25%|██▍       | 123/500 [07:52<24:23,  3.88s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  25%|██▍       | 124/500 [07:55<23:50,  3.80s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  25%|██▌       | 125/500 [07:59<23:27,  3.75s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  25%|██▌       | 126/500 [08:03<23:09,  3.71s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  25%|██▌       | 127/500 [08:06<22:54,  3.69s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  26%|██▌       | 128/500 [08:10<22:43,  3.67s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  26%|██▌       | 129/500 [08:13<22:35,  3.65s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  26%|██▌       | 130/500 [08:17<22:27,  3.64s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  26%|██▌       | 131/500 [08:22<25:45,  4.19s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  26%|██▋       | 132/500 [08:28<27:49,  4.54s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  27%|██▋       | 133/500 [08:32<26:10,  4.28s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  27%|██▋       | 134/500 [08:35<24:52,  4.08s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  27%|██▋       | 135/500 [08:39<23:56,  3.94s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  27%|██▋       | 136/500 [08:42<23:25,  3.86s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  27%|██▋       | 137/500 [08:46<23:03,  3.81s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  28%|██▊       | 138/500 [08:50<22:46,  3.78s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  28%|██▊       | 139/500 [08:55<25:58,  4.32s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  28%|██▊       | 140/500 [08:59<24:46,  4.13s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  28%|██▊       | 141/500 [09:03<23:55,  4.00s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  28%|██▊       | 142/500 [09:06<23:15,  3.90s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  29%|██▊       | 143/500 [09:10<22:55,  3.85s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  29%|██▉       | 144/500 [09:14<22:32,  3.80s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  29%|██▉       | 145/500 [09:17<22:10,  3.75s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  29%|██▉       | 146/500 [09:21<21:53,  3.71s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  29%|██▉       | 147/500 [09:25<21:39,  3.68s/it]
